
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      10.96
16                     17.27
32                      9.23
64                      9.79
128                    10.46
256                    11.47
512                    26.40
1024                   20.27
2048                   21.09
4096                   40.56
8192                   40.08
16384                  54.57
32768                  65.95
65536                  86.23
131072                115.81
262144                169.70
524288                358.44
1048576               587.27
2097152              2031.03
4194304              5244.41
8388608             11629.62
16777216            24748.41
33554432            53806.33
67108864           108630.69
