
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.34
16                      9.86
32                      9.81
64                     21.75
128                    11.15
256                    11.55
512                    21.16
1024                   23.17
2048                   24.68
4096                   28.08
8192                   38.97
16384                  83.18
32768                 105.48
65536                  88.33
131072                194.15
262144                151.60
524288                243.66
1048576               651.32
2097152              1992.11
4194304              5074.72
8388608             11393.11
16777216            23899.06
33554432            49806.99
67108864            99827.04
