
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.03
16                      8.93
32                      9.28
64                      9.97
128                    10.48
256                    11.27
512                    18.45
1024                   20.83
2048                   29.04
4096                   34.46
8192                   47.56
16384                  48.94
32768                  63.78
65536                  86.10
131072                118.17
262144                251.56
524288                281.71
1048576               596.54
2097152              2062.17
4194304              5179.45
8388608             11628.76
16777216            24487.64
33554432            54026.43
67108864           109574.12
