
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.58
16                      9.80
32                     10.14
64                     10.24
128                    10.85
256                    11.44
512                    29.19
1024                   23.76
2048                   25.13
4096                   28.24
8192                   36.84
16384                  54.67
32768                 101.04
65536                  87.15
131072                111.66
262144                152.60
524288                249.00
1048576               619.04
2097152              1893.15
4194304              5084.91
8388608             11410.51
16777216            24067.27
33554432            49822.47
67108864            99770.55
