
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.28              0.86              3.20        1000
16                      2.57              1.20              3.62        1000
32                      2.59              1.30              3.56        1000
64                      2.80              1.46              3.97        1000
128                     3.24              1.87              4.35        1000
256                     3.52              2.05              4.66        1000
512                     5.61              3.33              9.12        1000
1024                    5.46              3.15             11.16        1000
2048                    5.65              3.19              9.07        1000
4096                    6.10              3.40             22.81        1000
8192                    6.71              3.63             11.29        1000
16384                  22.45              5.30             31.21         100
32768                  12.41              5.58             18.56         100
65536                  18.21              6.75             28.23         100
131072                 28.73              7.79             45.75         100
262144                 50.09              9.45             86.98         100
524288                 91.86             14.87            151.16         100
1048576               199.49             30.30            315.17         100
2097152               436.65             72.38            670.36         100
4194304              1022.70            171.72           1437.42         100
8388608              2464.68            810.39           3310.08         100
16777216             5319.11           1417.76           7193.61         100
33554432            10574.12           2526.91          14253.34         100
67108864            21759.23           4600.95          29229.06         100
