
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.56              1.08              2.35        1000
16                      1.68              1.14              2.60        1000
32                      1.67              1.13              2.60        1000
64                      1.79              1.14              3.19        1000
128                     1.82              1.22              2.80        1000
256                     1.91              1.31              2.95        1000
512                     3.37              1.93              5.11        1000
1024                    3.44              1.84              5.25        1000
2048                    3.56              1.86              5.42        1000
4096                    3.87              1.91              6.05        1000
8192                    4.32              1.97              7.37        1000
16384                   5.27              2.13              9.11         100
32768                   8.10              2.85             13.90         100
65536                  11.78              3.27             21.00         100
131072                 19.42              4.18             34.90         100
262144                 34.24              5.87             62.85         100
524288                 58.89             12.12            108.57         100
1048576               153.68             26.23            269.56         100
2097152               339.73             65.17            594.33         100
4194304               780.86            155.51           1386.52         100
8388608              1787.67            344.38           3162.14         100
16777216             4051.24            880.60           7010.12         100
33554432             8543.34           1981.00          14647.10         100
67108864            16976.20           3729.44          29473.33         100
