
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.84              0.84              4.34        1000
16                      2.12              0.95              4.31        1000
32                      2.18              0.97              4.46        1000
64                      2.30              1.03              5.02        1000
128                     2.48              1.00              5.06        1000
256                     2.81              1.18              5.37        1000
512                     7.29              3.11             10.80        1000
1024                    8.98              3.00             14.35        1000
2048                    9.51              3.04             14.91        1000
4096                   10.41              3.09             17.02        1000
8192                   13.77              3.28             21.24        1000
16384                  19.73              3.48             30.17         100
32768                  34.27              5.23             55.98         100
65536                  60.86              4.98            101.35         100
131072                112.94              5.86            190.73         100
262144                219.44              7.61            372.50         100
524288                433.85             12.76            739.04         100
1048576               839.61             46.79           1430.58         100
2097152              1640.78            151.30           2863.73         100
4194304              3928.72            360.50           6439.28         100
8388608              8435.26            813.72          13173.48         100
16777216            17066.95           1689.40          26561.60         100
33554432            34096.36           3378.74          53102.47         100
67108864            67731.03           7056.96         105597.08         100
