
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.61              0.16              8.12        1000
16                      0.65              0.16              7.79        1000
32                      0.66              0.16              7.89        1000
64                      0.70              0.17              8.41        1000
128                     0.76              0.17             11.23        1000
256                     0.75              0.18              8.78        1000
512                     1.88              0.75             15.77        1000
1024                    2.00              0.75             18.68        1000
2048                    2.32              0.71             16.65        1000
4096                    2.85              1.05             19.09        1000
8192                    4.58              0.89             37.19        1000
16384                   5.82              1.31             36.82         100
32768                   9.59              1.45             61.59         100
65536                  13.43              2.06             97.58         100
131072                 58.39              4.85            196.22         100
262144                 79.31             10.23            303.96         100
524288                129.87             22.53            582.02         100
1048576               281.76             66.51           1274.74         100
2097152               736.01            213.23           2791.22         100
4194304              1728.58            490.69           6217.31         100
8388608              3825.42           1124.35          14312.87         100
16777216             7839.82           2334.55          30949.33         100
33554432            17251.48           5176.95          75420.31         100
67108864            35137.91          10625.45         156175.09         100
