
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.35              0.78              1.93        1000
16                      1.48              0.89              2.09        1000
32                      1.46              0.85              2.07        1000
64                      1.51              0.90              2.19        1000
128                     1.54              0.87              2.26        1000
256                     1.61              0.90              2.40        1000
512                     2.76              1.74              3.93        1000
1024                    2.74              1.78              3.84        1000
2048                    2.84              1.87              3.92        1000
4096                    3.05              1.97              4.22        1000
8192                    3.38              2.08              4.68        1000
16384                   3.99              2.23              5.44         100
32768                   6.04              3.07              8.43         100
65536                   8.51              3.60             11.51         100
131072                 13.62              4.53             17.90         100
262144                 23.95              6.52             30.96         100
524288                 44.04             12.35             56.27         100
1048576               102.40             28.65            127.12         100
2097152               234.51             69.74            296.48         100
4194304               624.70            167.76            800.74         100
8388608              1576.75            416.63           2023.02         100
16777216             3712.86           1073.98           4684.82         100
33554432             7447.59           2087.43           9378.50         100
67108864            14516.36           3780.34          18380.72         100
