
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.72              0.70              3.61        1000
16                      2.08              0.89              4.30        1000
32                      2.09              0.91              4.41        1000
64                      2.26              0.98              4.73        1000
128                     2.45              1.05              4.95        1000
256                     2.80              1.14              5.42        1000
512                     7.53              3.06             13.05        1000
1024                    8.84              2.94             13.22        1000
2048                    9.39              2.96             13.85        1000
4096                   10.32              3.07             15.41        1000
8192                   13.81              3.24             21.49        1000
16384                  19.84              3.42             29.83         100
32768                  34.70              4.90             54.47         100
65536                  60.60              4.97            100.34         100
131072                112.75              5.61            189.93         100
262144                219.17              7.34            372.10         100
524288                432.35             13.01            738.06         100
1048576               835.67             40.22           1431.32         100
2097152              1655.16            152.01           2896.81         100
4194304              3929.19            367.86           6427.96         100
8388608              8434.23            814.80          13167.73         100
16777216            17037.24           1682.80          26552.47         100
33554432            34077.24           3383.43          53131.54         100
67108864            67716.51           7074.00         105601.89         100
