
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.76              0.20              9.62        1000
16                      0.86              0.21             10.55        1000
32                      0.80              0.21              8.55        1000
64                      0.83              0.21              8.93        1000
128                     0.86              0.22             10.14        1000
256                     0.92              0.22             14.28        1000
512                     2.00              0.77             15.97        1000
1024                   11.55              2.10             19.73        1000
2048                   11.80              2.41             20.78        1000
4096                   14.65              2.74             25.55        1000
8192                   18.46              3.05             34.77        1000
16384                  25.27              4.01             39.16         100
32768                  29.42              6.44             49.06         100
65536                  37.54              9.05             58.34         100
131072                 56.31             15.14             83.17         100
262144                 89.14             30.81            120.92         100
524288                150.09             70.14            199.27         100
1048576               398.60            241.87            520.11         100
2097152              1530.39           1094.31           1738.32         100
4194304              4052.62           2810.49           4563.18         100
8388608              8805.87           6262.85           9706.18         100
16777216            19045.55          13010.37          20905.05         100
33554432            38867.50          26607.89          42440.60         100
67108864            78538.74          53107.40          86289.65         100
