
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.36              0.79              1.89        1000
16                      1.45              0.87              2.02        1000
32                      1.45              0.85              2.03        1000
64                      1.49              0.89              2.08        1000
128                     1.53              0.88              2.17        1000
256                     1.65              0.98              2.36        1000
512                     2.74              1.79              3.93        1000
1024                    2.78              1.80              3.99        1000
2048                    2.89              1.91              4.15        1000
4096                    3.05              1.95              4.43        1000
8192                    3.51              2.16              4.88        1000
16384                   4.01              2.19              5.54         100
32768                   6.11              3.26              8.38         100
65536                   8.60              3.81             11.44         100
131072                 13.86              4.67             18.08         100
262144                 24.77              6.50             33.69         100
524288                 42.10             12.65             55.47         100
1048576               103.69             27.32            133.77         100
2097152               230.13             68.11            289.21         100
4194304               620.66            164.12            802.66         100
8388608              1574.73            416.52           2020.03         100
16777216             3715.58           1073.76           4704.63         100
33554432             7477.55           2099.80           9417.08         100
67108864            14521.71           3758.01          18376.02         100
