
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.26              0.82              3.31        1000
16                      2.58              1.10              3.78        1000
32                      2.79              1.28              4.04        1000
64                      2.79              1.31              4.07        1000
128                     3.15              1.70              4.37        1000
256                     3.41              1.75              6.71        1000
512                     5.62              3.41              9.19        1000
1024                    5.54              3.16              8.92        1000
2048                    5.78              3.31             11.84        1000
4096                    5.98              3.32              8.89        1000
8192                    6.75              3.59              9.77        1000
16384                  22.53              5.19             31.72         100
32768                  12.40              5.50             18.69         100
65536                  18.19              6.62             28.47         100
131072                 28.53              7.89             45.84         100
262144                 49.91              9.67             80.65         100
524288                 91.25             15.12            150.12         100
1048576               200.46             30.34            316.28         100
2097152               434.10             71.41            657.22         100
4194304              1023.55            171.04           1561.77         100
8388608              2435.25            592.94           3483.64         100
16777216             5207.62           1152.54           7031.06         100
33554432            10474.14           2234.25          14178.74         100
67108864            21745.45           4441.16          29419.14         100
