
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.80              0.76              4.55        1000
16                      2.09              0.93              4.38        1000
32                      2.14              0.92              4.35        1000
64                      2.35              0.93              4.97        1000
128                     2.54              1.03              5.11        1000
256                     2.85              1.18              5.44        1000
512                     7.27              3.02             12.83        1000
1024                    8.92              3.01             13.39        1000
2048                    9.50              3.11             14.10        1000
4096                   10.35              3.07             15.61        1000
8192                   13.71              3.29             21.09        1000
16384                  19.89              3.54             30.54         100
32768                  34.51              5.37             54.96         100
65536                  60.75              5.00            100.63         100
131072                113.05              5.79            191.66         100
262144                219.62              7.47            372.17         100
524288                432.56             13.96            736.69         100
1048576               831.21             44.17           1422.09         100
2097152              1651.35            154.17           2912.21         100
4194304              3911.48            365.43           6592.46         100
8388608              8438.65            812.58          13172.99         100
16777216            17070.62           1673.64          26596.59         100
33554432            34087.19           3335.67          53109.62         100
67108864            67591.02           7093.86         105485.20         100
