
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.35              0.80              1.95        1000
16                      1.50              0.88              2.15        1000
32                      1.51              0.85              2.13        1000
64                      1.50              0.87              2.13        1000
128                     1.57              0.92              2.22        1000
256                     1.65              0.95              2.36        1000
512                     2.74              1.77              4.58        1000
1024                    2.84              1.87              3.85        1000
2048                    2.90              1.89              4.02        1000
4096                    3.04              1.96              4.18        1000
8192                    3.55              2.21              4.89        1000
16384                   4.02              2.22              5.40         100
32768                   6.33              3.32             10.77         100
65536                   8.63              3.75             11.39         100
131072                 13.74              4.63             17.71         100
262144                 24.45              7.39             31.20         100
524288                 41.66             12.08             53.82         100
1048576               103.20             27.58            129.97         100
2097152               231.28             68.19            289.90         100
4194304               624.91            167.80            799.98         100
8388608              1566.49            412.20           2021.99         100
16777216             3715.74           1070.37           4697.37         100
33554432             7432.71           2060.85           9326.81         100
67108864            14513.26           3769.93          18365.15         100
