
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.53              0.16              2.23        1000
16                      0.60              0.16              2.60        1000
32                      0.61              0.16              2.62        1000
64                      0.75              0.17              2.95        1000
128                     0.62              0.17              2.76        1000
256                     0.67              0.18              3.06        1000
512                     1.68              0.81              4.91        1000
1024                    1.75              0.83              5.22        1000
2048                    2.04              0.96              5.90        1000
4096                    2.40              1.00              7.26        1000
8192                    3.02              1.15              8.62        1000
16384                   4.31              1.26             12.55         100
32768                   8.53              1.71             26.37         100
65536                  10.57              2.52             36.51         100
131072                 20.47              3.33             69.73         100
262144                 43.96             10.30            133.43         100
524288                 82.15             21.81            276.54         100
1048576               205.95             59.11            670.61         100
2097152               644.50            194.31           1758.05         100
4194304              1690.46            484.49           4538.71         100
8388608              3790.63           1099.76          10765.01         100
16777216             7813.85           2235.07          22916.09         100
33554432            16972.81           5244.29          52300.68         100
67108864            35147.71          10687.84         107793.63         100
