
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.74              0.20              7.63        1000
16                      0.82              0.20             10.09        1000
32                      0.80              0.21              8.91        1000
64                      0.87              0.21             13.33        1000
128                     0.89              0.22             10.54        1000
256                     0.90              0.23             10.84        1000
512                     1.98              0.77             15.17        1000
1024                   10.12              1.95             18.37        1000
2048                   11.45              2.28             20.42        1000
4096                   15.30              2.64             28.30        1000
8192                   19.39              3.19             31.37        1000
16384                  22.47              4.10             36.41         100
32768                  29.09              6.38             47.47         100
65536                  36.87              9.84             57.04         100
131072                 56.66             15.46             81.75         100
262144                 84.75             29.77            116.98         100
524288                182.49             70.31            236.90         100
1048576               392.43            237.23            465.21         100
2097152              1587.80           1086.38           1765.11         100
4194304              4046.27           2874.28           4457.16         100
8388608              8882.78           6249.42           9745.93         100
16777216            18774.56          12999.69          20522.57         100
33554432            38902.68          26501.08          42751.21         100
67108864            78248.02          52661.70          85568.87         100
