
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.59              0.16              2.67        1000
16                      0.61              0.17              2.57        1000
32                      0.57              0.17              2.49        1000
64                      1.02              0.17              3.45        1000
128                     0.62              0.17              2.72        1000
256                     0.67              0.18              2.91        1000
512                     1.64              0.80              4.81        1000
1024                    1.73              0.84              5.11        1000
2048                    2.01              0.94              5.77        1000
4096                    2.44              0.98              7.09        1000
8192                    2.96              1.06              8.34        1000
16384                   4.30              1.25             12.72         100
32768                   6.59              1.73             20.02         100
65536                   9.98              2.29             33.78         100
131072                 24.55              4.36             71.44         100
262144                 43.70             10.04            131.00         100
524288                 84.99             21.78            284.73         100
1048576               216.60             67.97            689.57         100
2097152               673.37            219.49           1795.92         100
4194304              1708.39            522.48           4532.18         100
8388608              3827.84           1185.31          10814.32         100
16777216             7787.94           2383.98          22838.39         100
33554432            16395.49           4677.72          50490.29         100
67108864            32721.52           8838.99         103570.45         100
