
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.88              0.79              5.69        1000
16                      2.14              0.92              4.50        1000
32                      2.12              0.93              4.32        1000
64                      2.29              1.00              4.72        1000
128                     2.51              1.01              5.08        1000
256                     2.84              1.16              5.96        1000
512                     7.31              2.53             10.61        1000
1024                    8.91              2.33             13.39        1000
2048                    9.39              2.38             14.14        1000
4096                   10.29              2.46             16.89        1000
8192                   13.64              2.41             21.29        1000
16384                  19.74              2.84             29.75         100
32768                  34.77              4.88             54.88         100
65536                  60.13              4.68            100.06         100
131072                112.93              5.93            190.40         100
262144                219.61              6.88            373.03         100
524288                436.04             13.38            740.09         100
1048576               837.73             47.71           1429.21         100
2097152              1654.10            155.81           2896.38         100
4194304              3915.22            369.36           6421.68         100
8388608              8415.09            814.01          13159.84         100
16777216            17071.21           1687.43          26584.19         100
33554432            34096.27           3387.77          53263.56         100
67108864            67671.16           7093.70         105586.03         100
