
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.84              0.89              3.78        1000
16                      2.14              0.97              4.42        1000
32                      2.18              0.97              4.48        1000
64                      2.26              1.01              4.65        1000
128                     2.50              1.05              5.13        1000
256                     2.82              1.15              5.38        1000
512                     7.46              3.00             10.80        1000
1024                    9.03              3.23             13.55        1000
2048                    9.38              3.04             14.16        1000
4096                   10.34              3.01             15.78        1000
8192                   13.83              3.12             20.43        1000
16384                  20.07              3.35             30.78         100
32768                  34.34              4.99             54.05         100
65536                  60.61              4.76             99.91         100
131072                112.83              5.63            189.53         100
262144                219.79              7.50            372.65         100
524288                432.94             13.49            736.51         100
1048576               831.32             47.44           1421.07         100
2097152              1613.67            151.35           2844.51         100
4194304              3914.91            365.08           6418.75         100
8388608              8421.79            814.80          13165.43         100
16777216            17084.36           1690.59          26571.56         100
33554432            34025.80           3385.71          53042.21         100
67108864            67609.16           7041.16         105499.26         100
