
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.36              0.78              1.91        1000
16                      1.47              0.86              2.09        1000
32                      1.48              0.87              2.06        1000
64                      1.51              0.88              2.12        1000
128                     1.57              0.90              2.22        1000
256                     1.65              0.93              2.37        1000
512                     2.75              1.74              3.80        1000
1024                    2.88              1.88              4.03        1000
2048                    2.84              1.84              3.98        1000
4096                    3.07              2.00              4.35        1000
8192                    3.42              2.01              4.71        1000
16384                   4.01              2.16              5.46         100
32768                   6.12              3.23              8.14         100
65536                   8.58              3.76             11.31         100
131072                 13.78              4.74             18.07         100
262144                 23.82              6.30             30.28         100
524288                 42.41             11.88             54.79         100
1048576               104.32             27.39            133.14         100
2097152               231.61             68.58            297.53         100
4194304               628.30            167.96            806.91         100
8388608              1574.89            415.37           2018.67         100
16777216             3725.89           1078.59           4708.40         100
33554432             7452.30           2075.24           9360.13         100
67108864            14526.25           3761.80          18365.56         100
