
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.74              0.20              8.31        1000
16                      0.80              0.21              8.65        1000
32                      0.80              0.21              8.73        1000
64                      0.82              0.21              9.23        1000
128                     0.89              0.22             13.29        1000
256                     0.89              0.22             10.96        1000
512                     2.08              0.77             23.01        1000
1024                   11.30              2.00             24.31        1000
2048                   11.40              2.38             20.62        1000
4096                   14.51              2.71             26.04        1000
8192                   22.08              3.19             36.20        1000
16384                  26.96              3.90             41.00         100
32768                  29.81              6.36             48.07         100
65536                  36.61              9.62             56.32         100
131072                 55.57             15.77             80.80         100
262144                 88.90             29.42            120.81         100
524288                151.40             64.43            196.17         100
1048576               437.95            248.77            518.88         100
2097152              1597.72           1125.91           1780.27         100
4194304              3999.28           2844.70           4392.57         100
8388608              8799.17           6241.99           9690.64         100
16777216            18834.88          13116.52          20721.51         100
33554432            39185.41          26836.86          42773.18         100
67108864            78389.58          52817.38          85780.59         100
