
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.56              0.16              2.31        1000
16                      0.62              0.16              2.64        1000
32                      0.60              0.16              2.60        1000
64                      0.62              0.17              2.73        1000
128                     0.64              0.17              3.10        1000
256                     0.67              0.18              2.99        1000
512                     1.69              0.81              4.93        1000
1024                    1.75              0.85              5.20        1000
2048                    2.06              0.91              5.92        1000
4096                    2.72              0.93              8.19        1000
8192                    3.02              1.02              8.62        1000
16384                   4.33              1.15             12.72         100
32768                   6.69              1.60             20.83         100
65536                  11.68              2.18             48.70         100
131072                 22.30              4.45             73.88         100
262144                 43.66             10.37            130.41         100
524288                 82.08             21.83            278.29         100
1048576               215.82             70.09            680.98         100
2097152               683.53            226.33           1782.57         100
4194304              1701.46            508.13           4484.01         100
8388608              3710.72           1177.21          10488.86         100
16777216             7640.49           2415.73          22751.97         100
33554432            16363.25           4944.95          50813.94         100
67108864            33278.64          10160.14         104187.67         100
