
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.57              1.16              2.31        1000
16                      1.71              1.24              2.54        1000
32                      1.67              1.20              2.48        1000
64                      1.73              1.22              2.76        1000
128                     1.81              1.31              2.74        1000
256                     1.98              1.39              3.02        1000
512                     3.36              1.94              5.09        1000
1024                    3.45              1.94              5.23        1000
2048                    3.56              1.96              5.40        1000
4096                    3.79              2.00              6.00        1000
8192                    4.28              2.09              7.15        1000
16384                   5.25              2.26              9.14         100
32768                   7.80              2.96             13.79         100
65536                  11.75              3.46             21.09         100
131072                 19.30              4.29             34.91         100
262144                 33.65              6.07             61.87         100
524288                 59.46             12.81            110.13         100
1048576               150.76             26.32            262.88         100
2097152               341.55             66.26            595.29         100
4194304               783.31            156.70           1377.15         100
8388608              1787.59            342.37           3164.31         100
16777216             4048.76            876.12           7004.07         100
33554432             8540.48           1984.23          14644.43         100
67108864            17007.85           3745.41          29499.47         100
