
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.75              0.26              2.97        1000
16                      0.80              0.27              3.20        1000
32                      0.80              0.27              3.18        1000
64                      0.82              0.27              3.29        1000
128                     0.83              0.27              3.39        1000
256                     4.05              0.96              6.56        1000
512                     4.24              0.96              6.86        1000
1024                    6.82              2.58             10.25        1000
2048                    7.62              2.85             11.89        1000
4096                    9.74              3.17             14.31        1000
8192                   11.11              3.67             16.09        1000
16384                  14.12              4.65             19.84         100
32768                  25.98              7.11             33.71         100
65536                  25.53             11.39             34.12         100
131072                 38.71             17.35             49.81         100
262144                 63.21             30.90             79.24         100
524288                116.68             68.12            141.31         100
1048576               325.02            217.81            386.23         100
2097152              1264.67           1026.26           1370.92         100
4194304              3589.90           2942.49           3805.85         100
8388608              8343.35           6534.82           8841.58         100
16777216            17917.23          13523.96          19108.13         100
33554432            37112.90          27127.25          39978.71         100
67108864            76514.59          54832.29          82784.44         100
