
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.60              0.16              7.24        1000
16                      0.65              0.16              7.93        1000
32                      0.67              0.16              9.56        1000
64                      0.68              0.17              8.54        1000
128                     0.76              0.17             11.75        1000
256                     0.75              0.18              8.68        1000
512                     1.89              0.76             18.44        1000
1024                    2.00              0.79             15.63        1000
2048                    2.31              0.72             16.56        1000
4096                    2.91              0.95             20.34        1000
8192                    4.64              0.90             39.10        1000
16384                   5.83              1.24             37.18         100
32768                   9.46              1.58             60.90         100
65536                  13.34              2.10             98.36         100
131072                 59.28              5.02            193.22         100
262144                 79.63             10.04            307.21         100
524288                129.83             22.98            574.80         100
1048576               283.62             67.50           1295.24         100
2097152               739.56            210.60           2830.47         100
4194304              1748.10            487.87           6299.53         100
8388608              3856.27           1130.99          14456.80         100
16777216             7852.94           2316.11          31272.84         100
33554432            17224.78           5172.30          75728.75         100
67108864            34995.97          10443.92         156065.61         100
