
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.80              0.26              3.87        1000
16                      0.80              0.27              3.18        1000
32                      0.89              0.27              3.59        1000
64                      0.82              0.27              3.31        1000
128                     0.83              0.28              3.37        1000
256                     4.73              0.95              7.45        1000
512                     4.61              0.99              7.74        1000
1024                    6.46              2.36              9.70        1000
2048                    7.57              2.72             11.41        1000
4096                    9.18              3.00             13.77        1000
8192                   11.85              3.56             17.40        1000
16384                  14.19              4.60             20.06         100
32768                  18.56              7.24             25.51         100
65536                  25.70             11.94             34.43         100
131072                 38.76             16.99             49.95         100
262144                 62.65             30.97             78.39         100
524288                121.16             69.07            148.71         100
1048576               312.52            212.01            359.29         100
2097152              1246.30            999.23           1356.61         100
4194304              3572.60           2955.28           3791.64         100
8388608              8344.09           6646.83           8844.20         100
16777216            18013.08          13788.80          19168.75         100
33554432            38046.13          27582.54          40871.65         100
67108864            76093.40          54098.69          82426.87         100
