
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.90              0.26              3.26        1000
16                      0.79              0.27              3.18        1000
32                      0.80              0.27              3.22        1000
64                      0.80              0.27              3.28        1000
128                     0.83              0.28              3.39        1000
256                     4.08              0.94              6.65        1000
512                     4.23              0.97              6.88        1000
1024                    6.32              2.41             10.25        1000
2048                    7.45              2.68             11.55        1000
4096                    8.94              3.03             13.44        1000
8192                   11.77              3.52             17.41        1000
16384                  14.06              4.63             19.70         100
32768                  18.61              7.06             25.39         100
65536                  26.02             11.03             36.22         100
131072                 38.97             18.34             49.93         100
262144                 63.27             32.49             78.92         100
524288                118.75             70.33            144.49         100
1048576               337.62            235.63            388.76         100
2097152              1261.27           1007.17           1377.24         100
4194304              3550.40           2943.73           3762.69         100
8388608              8353.86           6612.57           8856.09         100
16777216            18242.02          13897.09          19406.32         100
33554432            37452.98          27246.62          40341.89         100
67108864            76891.51          54768.46          83157.73         100
