
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.58              1.14              2.37        1000
16                      1.66              1.18              2.54        1000
32                      1.67              1.20              2.59        1000
64                      1.73              1.23              2.67        1000
128                     1.81              1.31              2.72        1000
256                     3.18              1.38             35.68        1000
512                     3.49              1.95              5.19        1000
1024                    3.74              1.89              5.77        1000
2048                    3.66              1.90              5.54        1000
4096                    3.91              1.92              6.01        1000
8192                    4.37              1.97              7.20        1000
16384                   5.31              2.06              9.17         100
32768                   7.89              2.71             13.86         100
65536                  11.79              3.17             21.06         100
131072                 19.49              4.14             35.58         100
262144                 33.36              5.82             61.67         100
524288                 59.59             11.77            110.78         100
1048576               153.86             26.08            270.75         100
2097152               340.46             65.32            590.03         100
4194304               783.98            157.39           1384.13         100
8388608              1783.80            343.78           3156.67         100
16777216             4058.10            886.53           6998.85         100
33554432             8542.34           1987.96          14628.62         100
67108864            16987.57           3740.91          29461.39         100
