
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.75              0.26              2.98        1000
16                      0.80              0.27              3.23        1000
32                      0.80              0.26              3.22        1000
64                      0.82              0.27              3.33        1000
128                     0.85              0.28              3.45        1000
256                     4.03              0.94              6.61        1000
512                     4.22              0.97              6.85        1000
1024                    6.57              2.42              9.97        1000
2048                    7.55              2.65             11.39        1000
4096                    8.98              3.06             13.69        1000
8192                   10.98              3.63             16.04        1000
16384                  14.11              4.72             20.04         100
32768                  25.91              6.92             34.17         100
65536                  25.58             11.77             34.48         100
131072                 38.84             16.86             50.36         100
262144                 63.78             29.72             80.61         100
524288                123.88             70.17            150.52         100
1048576               325.65            216.88            372.57         100
2097152              1258.63           1013.08           1361.76         100
4194304              3592.06           2950.38           3810.80         100
8388608              8291.33           6492.61           8804.22         100
16777216            18008.66          13617.55          19195.73         100
33554432            37820.68          27738.18          40685.52         100
67108864            76097.83          54155.01          82329.31         100
