
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.35              0.80              1.90        1000
16                      1.43              0.87              1.99        1000
32                      1.46              0.89              2.00        1000
64                      1.50              0.91              2.10        1000
128                     1.56              0.95              2.20        1000
256                     1.71              1.04              2.40        1000
512                     2.77              1.78              3.82        1000
1024                    2.79              1.83              3.89        1000
2048                    2.91              1.88              4.06        1000
4096                    3.05              1.94              4.25        1000
8192                    3.38              2.04              4.69        1000
16384                   4.28              2.25             10.67         100
32768                   6.20              3.29              8.29         100
65536                   8.62              3.84             11.37         100
131072                 13.81              4.70             17.92         100
262144                 23.88              6.33             30.45         100
524288                 42.05             11.93             55.65         100
1048576               103.20             27.15            129.42         100
2097152               235.65             68.33            298.27         100
4194304               628.68            168.13            807.70         100
8388608              1569.76            410.57           2014.46         100
16777216             3703.44           1063.41           4680.62         100
33554432             7432.12           2060.57           9334.24         100
67108864            14528.81           3775.59          18378.76         100
