
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.73              0.20              7.53        1000
16                      0.83              0.21             10.60        1000
32                      0.82              0.21              8.45        1000
64                      0.84              0.21              9.47        1000
128                     0.91              0.21             11.50        1000
256                     0.86              0.22              9.18        1000
512                     2.13              0.77             20.64        1000
1024                   12.79              2.08             25.33        1000
2048                   13.41              2.38             22.70        1000
4096                   18.12              2.78             28.35        1000
8192                   18.38              3.27             30.29        1000
16384                  22.86              4.00             38.06         100
32768                  28.93              5.95             47.10         100
65536                  40.15              9.08             61.05         100
131072                 67.66             14.90             95.07         100
262144                205.55             29.06            252.97         100
524288                148.49             70.47            192.49         100
1048576               426.87            240.54            502.99         100
2097152              1502.92           1082.85           1689.79         100
4194304              4000.74           2886.31           4549.09         100
8388608              8830.73           6248.18           9669.57         100
16777216            18937.29          12878.05          20880.83         100
33554432            38788.23          26559.23          42423.20         100
67108864            78391.36          52561.89          85866.62         100
