
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.62              0.16              2.84        1000
16                      0.62              0.16              2.63        1000
32                      0.72              0.16              2.78        1000
64                      0.60              0.17              2.58        1000
128                     0.62              0.17              2.72        1000
256                     0.66              0.19              2.92        1000
512                     1.67              0.73              5.00        1000
1024                    1.73              0.76              5.25        1000
2048                    2.02              0.85              5.93        1000
4096                    2.30              1.08              6.55        1000
8192                    3.43              1.18              9.46        1000
16384                   4.24              1.35             12.17         100
32768                   6.78              1.56             21.14         100
65536                  10.00              2.22             33.92         100
131072                 22.47              4.40             72.52         100
262144                 43.17             10.33            129.37         100
524288                 83.21             21.87            284.33         100
1048576               211.54             65.39            669.52         100
2097152               667.68            203.44           1781.14         100
4194304              1707.71            481.98           4498.30         100
8388608              3841.74           1107.84          10782.03         100
16777216             7804.51           2304.06          23260.59         100
33554432            16899.69           5244.13          51272.58         100
67108864            32995.70           9483.64         103719.12         100
