
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.65              0.16             10.31        1000
16                      0.65              0.16              7.91        1000
32                      0.65              0.16              8.07        1000
64                      0.73              0.16             11.92        1000
128                     0.76              0.17             13.01        1000
256                     0.76              0.18              9.35        1000
512                     1.83              0.70             12.80        1000
1024                    1.99              0.73             15.21        1000
2048                    2.33              0.77             16.79        1000
4096                    2.89              0.97             19.33        1000
8192                    4.60              0.87             38.74        1000
16384                   6.18              1.23             50.58         100
32768                   9.47              1.37             62.99         100
65536                  13.68              2.03            117.48         100
131072                 58.51              4.88            196.02         100
262144                 79.67             10.19            327.39         100
524288                129.60             22.15            589.57         100
1048576               284.16             66.69           1301.96         100
2097152               744.87            211.33           2799.17         100
4194304              1755.56            491.48           6390.64         100
8388608              3881.32           1118.95          14795.55         100
16777216             7887.48           2338.75          31247.55         100
33554432            17318.35           5357.28          75686.45         100
67108864            35230.05          10947.83         156403.76         100
