
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.73              0.20              7.53        1000
16                      0.87              0.21             13.71        1000
32                      0.86              0.21             12.02        1000
64                      0.82              0.21              8.85        1000
128                     0.83              0.22              8.90        1000
256                     1.00              0.23             16.03        1000
512                     2.01              0.72             16.87        1000
1024                   13.60              2.01             22.28        1000
2048                   11.92              2.37             21.06        1000
4096                   13.28              2.73             22.84        1000
8192                   18.64              3.29             30.36        1000
16384                  22.35              4.23             35.93         100
32768                  29.86              6.04             48.60         100
65536                  40.63              9.80             97.44         100
131072                 54.95             14.88             79.78         100
262144                 84.18             30.00            114.29         100
524288                153.84             69.65            203.65         100
1048576               403.50            235.40            513.59         100
2097152              1528.46           1079.12           1686.38         100
4194304              4225.62           2895.88           4640.41         100
8388608              8915.94           6346.13           9711.24         100
16777216            19214.67          13222.28          21075.79         100
33554432            38822.57          26731.02          42493.03         100
67108864            78135.35          52911.43          85979.04         100
