
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.54              1.14              2.30        1000
16                      1.68              1.20              2.60        1000
32                      1.71              1.15              2.68        1000
64                      1.76              1.16              3.04        1000
128                     1.80              1.25              2.74        1000
256                     1.93              1.35              2.92        1000
512                     3.58              1.96              5.45        1000
1024                    3.48              1.96              5.27        1000
2048                    3.63              1.96              5.48        1000
4096                    3.92              1.98              6.20        1000
8192                    4.41              2.08              7.45        1000
16384                   5.33              2.25              9.14         100
32768                   7.84              2.93             13.57         100
65536                  11.77              3.36             21.06         100
131072                 19.59              4.44             35.26         100
262144                 33.92              6.08             62.15         100
524288                 59.93             11.43            110.80         100
1048576               151.33             25.71            265.25         100
2097152               340.33             64.77            591.69         100
4194304               779.72            156.86           1380.67         100
8388608              1783.07            340.87           3157.85         100
16777216             4055.19            884.11           7005.70         100
33554432             8549.03           1990.44          14654.61         100
67108864            16989.30           3732.37          29489.18         100
