
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.79              0.20              8.40        1000
16                      0.79              0.21              8.79        1000
32                      0.84              0.21             10.79        1000
64                      0.82              0.21              9.22        1000
128                     0.83              0.21              8.99        1000
256                     0.89              0.22              9.38        1000
512                     1.98              0.78             14.18        1000
1024                   12.87              2.04             22.88        1000
2048                   12.94              2.42             22.79        1000
4096                   13.09              2.74             22.83        1000
8192                   18.81              3.24             32.42        1000
16384                  21.74              4.10             35.16         100
32768                  45.81              5.90             78.90         100
65536                  39.31              9.80             60.45         100
131072                 55.24             14.77             79.79         100
262144                106.86             27.88            142.98         100
524288                146.21             68.82            192.15         100
1048576               453.04            245.39            535.12         100
2097152              1557.36           1092.60           1733.64         100
4194304              3969.27           2853.76           4371.58         100
8388608              8799.02           6249.18           9612.47         100
16777216            18753.68          13192.61          20423.95         100
33554432            38968.73          26785.17          42681.19         100
67108864            77992.36          52501.51          85399.16         100
