
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.19              0.85              3.17        1000
16                      2.55              1.14              3.70        1000
32                      2.65              1.31              3.76        1000
64                      2.70              1.34              3.84        1000
128                     3.09              1.70              4.47        1000
256                     3.54              1.98              5.15        1000
512                     5.39              3.19              8.78        1000
1024                    5.61              3.18              8.90        1000
2048                    5.66              3.23              8.83        1000
4096                    5.96              3.38             12.16        1000
8192                    6.70              3.61              9.92        1000
16384                  22.22              4.94             31.17         100
32768                  12.47              5.58             18.74         100
65536                  18.22              7.07             41.16         100
131072                 28.56              7.52             45.42         100
262144                 50.02              9.41             81.63         100
524288                 91.52             15.47            150.54         100
1048576               200.37             29.82            314.48         100
2097152               433.15             71.66            654.50         100
4194304              1019.51            168.96           1434.29         100
8388608              2422.26            561.83           3273.00         100
16777216             5191.50           1086.99           6941.89         100
33554432            10442.05           2157.89          14036.39         100
67108864            21500.23           3982.14          28810.27         100
