
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.66
16                      1.75
32                      2.01
64                      1.90
128                     1.99
256                     2.27
512                     2.72
1024                    3.37
2048                    4.45
4096                    7.05
8192                   10.68
16384                  22.37
32768                  44.08
65536                  89.80
131072                180.57
262144                397.06
524288                786.74
1048576              1590.35
2097152              3510.60
4194304              7219.38
8388608             14458.81
16777216            28998.11
33554432            57976.88
67108864           115959.75
