
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.77
16                      1.75
32                      1.90
64                      4.82
128                     1.97
256                     2.15
512                     2.61
1024                    3.36
2048                    4.35
4096                    6.73
8192                   11.15
16384                  22.51
32768                  52.56
65536                  91.30
131072                231.50
262144                405.06
524288                826.07
1048576              1592.10
2097152              3573.21
4194304              7308.37
8388608             14649.68
16777216            29448.63
33554432            58700.00
67108864           117391.98
