
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       6.18
16                      2.26
32                      1.68
64                      1.76
128                     1.98
256                     2.20
512                     2.69
1024                    3.45
2048                    4.36
4096                    6.94
8192                   10.79
16384                  22.20
32768                  44.35
65536                  89.32
131072                177.00
262144                452.37
524288                781.05
1048576              1562.85
2097152              3524.99
4194304              7215.20
8388608             14493.32
16777216            28984.71
33554432            57761.94
67108864           115928.41
