
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.81
16                      5.87
32                      6.29
64                      5.88
128                     5.71
256                     5.84
512                     8.69
1024                    6.99
2048                    8.14
4096                   13.62
8192                   14.89
16384                  20.12
32768                  31.17
65536                  47.70
131072                 82.47
262144                194.00
524288                432.41
1048576              1217.41
2097152              3245.58
4194304              7513.99
8388608             15333.53
16777216            31262.30
33554432            63660.30
67108864           129844.10
