
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.84
16                      1.73
32                      2.42
64                      1.80
128                     1.96
256                     2.15
512                     2.84
1024                    3.32
2048                    4.47
4096                    6.83
8192                   10.67
16384                  25.36
32768                  48.51
65536                  89.83
131072                182.01
262144                370.74
524288                810.66
1048576              1612.33
2097152              3571.88
4194304              7245.37
8388608             14718.43
16777216            29207.35
33554432            58699.29
67108864           116315.48
