
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.76
16                      8.70
32                      5.92
64                      5.74
128                     5.90
256                     6.07
512                     7.19
1024                    7.19
2048                    8.22
4096                   13.40
8192                   18.01
16384                  20.54
32768                  31.21
65536                  47.18
131072                 82.14
262144                153.61
524288                399.60
1048576              1210.05
2097152              3153.42
4194304              7357.83
8388608             15243.01
16777216            31079.18
33554432            63683.86
67108864           130311.59
