
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       7.12
16                      5.73
32                      5.69
64                      8.31
128                     5.78
256                     7.68
512                     6.43
1024                    7.02
2048                    8.24
4096                   15.24
8192                   15.26
16384                  20.46
32768                  79.32
65536                  48.84
131072                100.71
262144                154.08
524288                402.34
1048576              1266.80
2097152              3202.48
4194304              7080.23
8388608             15290.53
16777216            31300.13
33554432            63848.95
67108864           129909.70
