
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.74
16                      5.65
32                      5.72
64                      9.25
128                     5.71
256                     5.92
512                     6.37
1024                    7.05
2048                    8.14
4096                   13.92
8192                   14.87
16384                  20.20
32768                  68.45
65536                  49.45
131072                 83.82
262144                155.42
524288                413.45
1048576              1208.96
2097152              3189.57
4194304              7195.70
8388608             15090.33
16777216            31264.99
33554432            63758.03
67108864           129868.89
