
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.78
16                      5.94
32                      6.02
64                      5.77
128                     6.57
256                     5.91
512                     6.49
1024                    7.04
2048                    8.14
4096                   18.42
8192                   14.89
16384                  20.07
32768                  31.34
65536                  47.90
131072                 81.38
262144                157.44
524288                427.64
1048576              1201.24
2097152              3085.77
4194304              7146.11
8388608             15272.47
16777216            31576.86
33554432            63728.53
67108864           129781.91
