
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       6.10
16                      5.95
32                      5.74
64                      5.66
128                     9.36
256                     5.83
512                     6.38
1024                    7.05
2048                    8.18
4096                   13.29
8192                   14.80
16384                  20.06
32768                  31.29
65536                  48.10
131072                 83.10
262144                203.01
524288                402.24
1048576              1253.73
2097152              3183.94
4194304              7121.20
8388608             15191.15
16777216            31262.15
33554432            63721.49
67108864           130087.16
