
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.80
16                      5.77
32                      5.75
64                      5.84
128                     6.16
256                     5.95
512                     6.41
1024                    8.79
2048                    8.16
4096                   17.09
8192                   15.02
16384                  20.59
32768                  30.91
65536                  47.53
131072                112.60
262144                151.25
524288                448.80
1048576              1241.81
2097152              3145.15
4194304              7070.99
8388608             15200.40
16777216            31389.73
33554432            63879.67
67108864           129965.80
