
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.77
16                      5.70
32                      5.72
64                      5.79
128                     6.00
256                     5.84
512                     6.58
1024                    7.02
2048                    8.28
4096                   13.45
8192                   14.87
16384                  20.03
32768                  31.21
65536                  78.20
131072                 83.11
262144                160.17
524288                442.49
1048576              1287.59
2097152              3219.79
4194304              7235.33
8388608             15086.63
16777216            31306.23
33554432            64200.36
67108864           130846.42
