
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.63
16                      1.59
32                      1.63
64                      1.66
128                     1.82
256                     2.15
512                     2.59
1024                    3.37
2048                    7.33
4096                    7.11
8192                   10.79
16384                  22.34
32768                  43.66
65536                 136.74
131072                180.10
262144                367.83
524288                820.33
1048576              1614.46
2097152              3540.70
4194304              7277.14
8388608             14539.00
16777216            28947.60
33554432            57829.63
67108864           115105.07
