
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       1.73
16                      1.78
32                      1.74
64                      1.83
128                     1.95
256                     2.24
512                     2.78
1024                    3.23
2048                    4.22
4096                    6.77
8192                   10.84
16384                  21.39
32768                  44.21
65536                  91.79
131072                190.78
262144                445.77
524288                767.52
1048576              1606.64
2097152              3548.00
4194304              7174.40
8388608             14528.46
16777216            29003.46
33554432            57879.54
67108864           115792.72
