
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.25              0.34             26.26        1000
16                      4.28              0.34             26.24        1000
32                      4.25              0.33             26.37        1000
64                      4.24              0.33             26.23        1000
128                     4.37              0.34             27.20        1000
256                     8.00              3.25             30.42        1000
512                     8.22              3.35             30.92        1000
1024                    8.98              3.73             32.46        1000
2048                   12.05              4.94             38.22        1000
4096                   20.11              5.50             51.83        1000
8192                   47.08             11.82             96.08        1000
16384                  90.28             16.64            166.37         100
32768                 158.60             19.15            303.70         100
65536                 285.10             25.57            570.09         100
131072                615.96             31.62           1283.92         100
262144               1292.24             37.13           2553.05         100
524288               2340.82             62.97           4778.62         100
1048576              4703.07            128.43           9617.97         100
2097152              9912.69            282.61          20205.70         100
4194304             21393.75            606.46          42663.37         100
8388608             44361.93            850.54          86433.34         100
16777216            87120.69           5149.20         171470.58         100
33554432           185079.72           3942.53         362659.27         100
67108864           371775.56           3820.24         711508.57         100
