
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.79              3.53             19.68        1000
16                      8.78              3.54             19.74        1000
32                      8.74              3.55             19.66        1000
64                      8.74              3.51             19.65        1000
128                     9.04              3.57             20.59        1000
256                    12.80              6.26             23.10        1000
512                    13.16              6.33             23.58        1000
1024                   13.75              6.40             24.58        1000
2048                   15.90              6.63             28.16        1000
4096                   22.48              6.89             38.31        1000
8192                   43.76              9.82             70.23        1000
16384                  77.00             11.96            119.15         100
32768                 139.04             18.43            217.07         100
65536                 256.50             29.80            409.31         100
131072                489.32             50.08            793.46         100
262144                947.34             91.83           1540.15         100
524288               1883.38            170.14           3104.42         100
1048576              3814.60            342.91           6199.66         100
2097152              7779.62            676.67          12683.05         100
4194304             15750.72           1350.11          25651.55         100
8388608             31580.12           2693.89          51448.66         100
16777216            63459.12           5430.43         103301.24         100
33554432           128106.69          10963.25         208297.80         100
67108864           258437.11          22932.12         419367.62         100
