
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.23              0.34             26.26        1000
16                      4.21              0.34             26.09        1000
32                      4.59              0.33             26.90        1000
64                      4.23              0.33             26.19        1000
128                     4.32              0.34             26.99        1000
256                     8.01              3.25             30.50        1000
512                     8.20              3.32             30.98        1000
1024                    9.89              3.69             36.16        1000
2048                   12.05              4.92             38.34        1000
4096                   20.04              5.47             51.72        1000
8192                   47.22             11.53             96.11        1000
16384                  91.06             14.55            170.18         100
32768                 158.75             15.31            303.28         100
65536                 284.19             18.61            571.79         100
131072                605.53             46.62           1252.60         100
262144               1287.10             60.22           2531.42         100
524288               2330.07            111.96           4747.66         100
1048576              4679.41            171.23           9577.85         100
2097152              9879.10            314.78          20076.99         100
4194304             21476.15            907.17          42598.18         100
8388608             44655.65           1312.94          86539.90         100
16777216            89223.59           3132.34         175480.27         100
33554432           184742.16           5452.12         356629.14         100
67108864           371249.40           3767.02         710753.11         100
