
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.68              3.50             19.58        1000
16                      8.76              3.52             19.69        1000
32                      8.66              3.52             19.55        1000
64                      8.70              3.55             19.63        1000
128                     9.04              3.60             20.62        1000
256                    12.84              6.28             23.22        1000
512                    13.08              6.32             23.56        1000
1024                   13.71              6.42             24.60        1000
2048                   15.78              6.64             27.96        1000
4096                   22.30              6.91             38.03        1000
8192                   44.67              9.84             74.95        1000
16384                  76.74             12.02            119.30         100
32768                 137.93             18.51            215.19         100
65536                 254.13             29.36            407.40         100
131072                485.79             49.62            791.09         100
262144                945.32             89.78           1538.47         100
524288               1884.37            172.94           3072.56         100
1048576              3806.99            340.52           6211.94         100
2097152              7787.53            674.16          12710.94         100
4194304             15749.65           1333.99          25673.93         100
8388608             31658.64           2690.00          51545.58         100
16777216            63514.90           5397.50         103429.06         100
33554432           127962.64          10942.43         208176.80         100
67108864           258212.27          22688.95         419315.00         100
