
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.26              0.34             26.24        1000
16                      4.25              0.34             26.18        1000
32                      4.23              0.33             26.21        1000
64                      4.26              0.33             26.23        1000
128                     4.37              0.34             27.22        1000
256                     7.99              3.27             30.43        1000
512                     8.19              3.37             30.92        1000
1024                    8.96              3.78             32.45        1000
2048                   12.09              4.90             38.30        1000
4096                   20.22              5.57             52.15        1000
8192                   47.29             11.28             96.53        1000
16384                  91.06             15.14            167.38         100
32768                 160.38             20.28            306.70         100
65536                 287.67             24.04            577.39         100
131072                618.09             39.20           1273.38         100
262144               1282.03             57.67           2548.98         100
524288               2327.84             51.75           4748.85         100
1048576              4709.22            205.78           9660.74         100
2097152              9917.86            486.25          20170.29         100
4194304             21356.62            630.81          42478.64         100
8388608             44606.57            703.73          86561.77         100
16777216            86072.97           6653.15         169363.33         100
33554432           182266.82           5367.27         356899.14         100
67108864           370854.56           3748.67         709038.15         100
