
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.54              0.63             26.81        1000
16                      4.52              0.62             26.66        1000
32                      4.52              0.62             26.62        1000
64                      4.54              0.62             26.70        1000
128                     4.68              0.63             27.72        1000
256                     8.04              3.33             30.79        1000
512                    36.17             29.16             58.54        1000
1024                   38.30             30.22             60.56        1000
2048                   43.42             34.05             64.26        1000
4096                   58.94             46.35             88.46        1000
8192                   82.88             65.04            112.72        1000
16384                 147.96            132.80            200.39         100
32768                 297.06            282.83            349.37         100
65536                 572.99            560.19            642.28         100
131072               1215.30           1205.05           1267.92         100
262144               2444.13           2422.39           2531.50         100
524288               4947.24           4921.68           5041.07         100
1048576             10440.23          10399.42          10611.61         100
2097152             23119.33          23042.66          23432.65         100
4194304             48991.05          48851.27          49611.58         100
8388608            100992.83         100704.83         102239.03         100
16777216           202516.45         201927.75         205014.92         100
33554432           411047.64         409863.91         416072.19         100
67108864           828361.61         826029.49         838493.48         100
