
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.56              0.65             26.83        1000
16                      4.56              0.66             26.83        1000
32                      4.55              0.64             26.71        1000
64                      4.56              0.63             26.82        1000
128                     4.69              0.65             27.73        1000
256                     8.05              3.35             30.78        1000
512                    36.15             29.20             58.61        1000
1024                   36.98             29.73             57.97        1000
2048                   43.97             35.04             65.34        1000
4096                   59.67             47.04             92.23        1000
8192                   82.43             64.61            112.91        1000
16384                 148.66            135.51            194.06         100
32768                 291.72            282.27            350.65         100
65536                 579.68            568.55            644.31         100
131072               1213.84           1202.47           1261.48         100
262144               2441.91           2425.07           2502.08         100
524288               4971.81           4943.63           5070.23         100
1048576             10497.55          10456.72          10664.15         100
2097152             22984.96          22909.15          23302.74         100
4194304             49019.83          48867.54          49674.04         100
8388608            101210.68         100908.49         102462.83         100
16777216           202159.51         201597.63         204668.59         100
33554432           409906.99         408753.49         414961.73         100
67108864           831654.26         829291.44         841829.46         100
