
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.77              3.51             19.74        1000
16                      8.73              3.57             19.73        1000
32                      8.67              3.50             19.60        1000
64                      8.74              3.49             19.71        1000
128                     9.06              3.55             20.57        1000
256                    12.83              6.32             23.22        1000
512                    13.09              6.31             23.60        1000
1024                   13.70              6.41             24.62        1000
2048                   15.75              6.64             28.09        1000
4096                   22.28              6.87             38.16        1000
8192                   43.39              9.78             69.90        1000
16384                  76.99             11.87            119.19         100
32768                 136.95             18.43            215.54         100
65536                 254.57             29.80            408.22         100
131072                488.19             50.72            793.99         100
262144                948.60             92.17           1541.78         100
524288               1887.03            171.97           3073.84         100
1048576              3819.49            340.85           6209.93         100
2097152              7800.16            674.84          12708.91         100
4194304             15733.62           1333.04          25651.35         100
8388608             31603.36           2664.06          51531.11         100
16777216            63537.46           5372.26         103519.33         100
33554432           127916.19          10861.15         208053.13         100
67108864           258311.17          22758.48         419451.55         100
