
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      13.32              0.95             17.91        1000
16                     13.19              0.94             17.76        1000
32                     13.13              0.93             17.76        1000
64                     13.18              0.96             17.77        1000
128                    13.95              0.97             19.29        1000
256                    17.42              4.60             21.57        1000
512                    17.80              4.64             22.00        1000
1024                   18.74              4.74             23.37        1000
2048                   21.45              4.93             27.77        1000
4096                   28.25              5.11             37.75        1000
8192                   53.36              7.80             71.97        1000
16384                  60.62              6.15            118.79         100
32768                 140.01             10.04            214.55         100
65536                 279.36             32.03            462.45         100
131072                546.15             57.64            910.57         100
262144               1078.94            105.29           1831.00         100
524288               2122.13            194.67           3646.61         100
1048576              4253.06            384.62           7348.91         100
2097152              8552.98            769.50          14803.45         100
4194304             17217.65           1519.56          29682.02         100
8388608             34558.52           3054.75          59259.92         100
16777216            70171.96           6102.15         120512.34         100
33554432           140833.39          12204.94         242740.32         100
67108864           282779.83          24491.97         486736.64         100
