
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       4.28              0.34             26.28        1000
16                      4.24              0.34             26.08        1000
32                      4.22              0.33             26.15        1000
64                      4.24              0.33             26.23        1000
128                     4.35              0.33             27.05        1000
256                     7.96              3.23             30.36        1000
512                     8.19              3.34             30.84        1000
1024                    8.92              3.70             32.29        1000
2048                   12.08              4.91             38.25        1000
4096                   20.10              5.45             51.80        1000
8192                   47.05             11.32             96.21        1000
16384                  91.29             16.32            171.60         100
32768                 158.83             19.40            304.35         100
65536                 287.94             24.03            574.90         100
131072                609.54             46.16           1262.08         100
262144               1305.55             36.99           2563.75         100
524288               2338.30             46.92           4776.35         100
1048576              4747.48            116.79           9697.67         100
2097152              9827.85            509.59          20045.48         100
4194304             21363.90            437.75          42554.23         100
8388608             44259.45            800.94          86132.93         100
16777216            86189.14           6701.23         169043.75         100
33554432           183961.09           3436.68         361154.57         100
67108864           371013.36           3729.17         709414.22         100
