
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.81              3.58             19.76        1000
16                      8.82              3.58             19.74        1000
32                      8.73              3.59             19.68        1000
64                      8.84              3.57             20.18        1000
128                     9.11              3.63             20.68        1000
256                    12.80              6.30             23.15        1000
512                    13.10              6.32             23.59        1000
1024                   13.75              6.45             24.62        1000
2048                   15.78              6.60             28.05        1000
4096                   22.27              6.87             38.04        1000
8192                   43.35              9.82             69.86        1000
16384                  76.76             12.01            119.09         100
32768                 137.99             18.60            215.95         100
65536                 255.76             29.14            408.85         100
131072                495.56             48.98            832.98         100
262144                953.56             89.38           1550.08         100
524288               1885.21            172.76           3074.15         100
1048576              3818.72            338.06           6215.74         100
2097152              7781.74            673.30          12696.19         100
4194304             15724.31           1343.40          25641.33         100
8388608             31584.19           2681.80          51480.32         100
16777216            63440.28           5413.37         103328.57         100
33554432           128038.15          10901.58         208352.83         100
67108864           258373.32          22841.54         419375.38         100
