
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.75              3.56             19.66        1000
16                      8.74              3.52             19.70        1000
32                      8.73              3.55             19.70        1000
64                      8.72              3.50             19.70        1000
128                     9.11              3.57             20.66        1000
256                    12.79              6.28             23.22        1000
512                    13.10              6.30             23.64        1000
1024                   13.84              6.45             24.88        1000
2048                   15.78              6.59             28.12        1000
4096                   22.28              6.88             38.12        1000
8192                   43.39              9.81             69.80        1000
16384                  76.99             12.04            118.93         100
32768                 137.14             18.53            214.66         100
65536                 255.41             30.01            407.62         100
131072                489.13             49.62            794.19         100
262144                947.93             90.69           1540.99         100
524288               1882.73            172.47           3068.46         100
1048576              3812.09            336.84           6208.69         100
2097152              7785.54            676.44          12698.02         100
4194304             15726.79           1344.04          25656.39         100
8388608             31566.80           2691.85          51477.76         100
16777216            63438.69           5431.60         103378.88         100
33554432           128006.18          10869.32         208219.45         100
67108864           258343.42          22895.95         419396.60         100
